"group","bin","alpha","critic_alpha","qw","H"
"tent12i_g099","70000","1.28952046632767","1.29","1203.85568576389","11.9660590489705"
"tent12i_g099","90000","1.52462894254261","1.52","1448.02498372396","11.7299700842963"
"tent12i_g099","110000","1.72505384087563","1.73","1654.46955023872","12.129517449273"
"tent12_hq","0","0.368862727036079","-","-63.386109246148","15.6984372668796"
"tent12_hq","5000","0.266495549347666","-","-104.919098748101","10.8204639222887"
"tent12_hq","10000","0.330406443940269","-","-114.807959662543","11.340869585673"
"tent12_hq","20000","0.256775254921781","-","-94.3903189765082","11.690832455953"
"tent12_hq","30000","0.221316343131993","-","-87.6097242567274","11.9005931218465"
"tent12_hq","50000","0.205588689529234","-","-75.061036851671","12.210348976983"
"tent12_hq","70000","0.196903208560414","-","-77.3732248942057","11.843949953715"
"tent12_hq","90000","0.177909231185913","-","-75.9278013441298","12.0838819079929"
"tent12_hq","110000","0.177296202215883","-","-75.0657475789388","11.8864008585612"
