run,task,group,seed,n_evals,first_success,early_until_online,early_tail_held_steps,auc_early,auc_early_boundary_linear,mean_deficit_pi_dp,min_observed,min_observed_online,dip_from_start,min_grid,no_dip_observed,no_dip_grid,recovery_pi_dp,at10k,at10k_actual_env,pre100k_success,pre100k_actual_env,endpoint,endpoint_actual_env,endpoint_target_env,at125k_interpolated,final_last3_unmatched,last_eval_env,last_train_env,t50_post_update,t80_post_update
square_cql_s3,square,cql,3,16,0.47,67984,2880.0,0.46942927747705343,0.4690029414927173,0.047139937818186366,0.3,10016,0.16999999999999998,0.3,False,False,35056.0,0.3,42032,0.5,97120,0.475,127136.0,127136,0.4741458733205374,0.48,127136,149600,35056.0,
square_fixalpha_03_s1,square,fixalpha_03,1,16,0.4399999999999999,67984,2880.0,0.3503130148270181,0.35147021249878746,0.1437080445225867,0.24,25040,0.1999999999999999,0.24,False,False,,0.3999999999999999,42032,0.34,97120,0.09,127136.0,127136,0.11946737044145878,0.28833333333333333,127136,148816,15024.0,
square_fixalpha_03_s2,square,fixalpha_03,2,16,0.49,67984,2880.0,0.45335137679453996,0.45274232538834547,0.046578049525982025,0.27,15024,0.21999999999999997,0.27,False,False,35056.0,0.51,42032,0.39,97120,0.315,127136.0,127136,0.3171353166986564,0.34833333333333333,127136,148816,10016.0,
square_fixalpha_03_s3,square,fixalpha_03,3,16,0.52,67984,2880.0,0.4439044481054366,0.44292996585552546,0.06744145018763399,0.26,15024,0.26,0.26,False,False,25040.0,0.29,42032,0.48,97120,0.6000000000000001,127136.0,127136,0.5829174664107486,0.49333333333333335,127136,148816,25040.0,
square_fixalpha_03_s4,square,fixalpha_03,4,16,0.4600000000000001,67984,2880.0,0.4091162626500353,0.40759363413454924,0.08596149719583003,0.3,10016,0.1600000000000001,0.3,False,False,20032.0,0.3,42032,0.45,97120,0.515,127136.0,127136,0.49877159309021113,0.43,127136,148816,20032.0,
square_fixalpha_03_s5,square,fixalpha_03,5,16,0.44,67984,2880.0,0.41371969875264764,0.4154859478306115,0.08280762128904286,0.28,15024,0.15999999999999998,0.28,False,False,50080.0,0.29,42032,0.35,97120,0.3,127136.0,127136,0.3166554702495201,0.38166666666666665,127136,148816,50080.0,
square_iql_s1,square,iql,1,16,0.51,67984,2880.0,0.4396869851729819,0.44108780340722903,0.05947931527141339,0.3,20032,0.21000000000000002,0.3,False,False,30048.0,0.47,42032,0.45,97120,0.535,127136.0,127136,0.5375623800383877,0.5166666666666667,127136,148816,30048.0,
square_iql_s2,square,iql,2,16,0.46,67984,2880.0,0.4274217462932454,0.42681269488705104,0.06787933906526523,0.2799999999999999,30048,0.1800000000000001,0.2799999999999999,False,False,50080.0,0.53,42032,0.4299999999999999,97120,0.5650000000000001,127136.0,127136,0.5491986564299425,0.4583333333333333,127136,148816,10016.0,
square_iql_s3,square,iql,3,16,0.45,67984,2880.0,0.4424676394445752,0.44325940627262794,0.05352756325994034,0.28,30048,0.16999999999999998,0.28,False,False,40064.0,0.51,42032,0.42,97120,0.5850000000000001,127136.0,127136,0.5764587332053743,0.49666666666666676,127136,148816,10016.0,
square_mix_prefill_s1,square,mix_prefill,1,16,0.54,67984,2880.0,0.4167592374676394,0.41889091738931983,0.09977038635225043,0.06,10016,0.48000000000000004,0.06,False,False,40064.0,0.06,42032,0.5,97120,0.59,127136.0,127136,0.5972600767754318,0.5883333333333334,127136,148816,40064.0,
square_mix_prefill_s2,square,mix_prefill,2,16,0.54,67984,2880.0,0.4003694987055778,0.39982135244000283,0.12456042195373486,0.02,10016,0.52,0.02,False,False,25040.0,0.02,42032,0.6000000000000001,97120,0.6050000000000001,127136.0,127136,0.6007293666026872,0.5866666666666668,127136,148816,25040.0,
square_mix_prefill_s3,square,mix_prefill,3,16,0.46,67984,2880.0,0.47992704165686045,0.4805360930630549,0.09325617321722761,0.01,10016,0.45,0.01,False,False,35056.0,0.01,42032,0.6,97120,0.6699999999999999,127136.0,127136,0.6682917466410748,0.64,127136,148816,35056.0,
square_td_s1,square,td,1,16,0.48,67984,2880.0,0.52,0.5175637943752223,0.009715728829106112,0.37,10016,0.10999999999999999,0.37,False,False,15024.0,0.37,42032,0.52,97120,0.495,127136.0,127136,0.480052783109405,0.445,127136,149600,5008.0,
square_td_s2,square,td,2,16,0.52,67984,2880.0,0.4541798070134149,0.45296170420102605,0.057320117724029625,0.25,60096,0.27,0.25,False,False,,0.4599999999999999,42032,0.34,97120,0.295,127136.0,127136,0.2903023032629558,0.2916666666666667,127136,149600,15024.0,
square_td_s3,square,td,3,16,0.4,67984,2880.0,0.5032231113203107,0.5016395776642052,0.023172916154929873,0.38,40064,0.020000000000000018,0.38,False,False,45072.0,0.54,42032,0.55,97120,0.475,127136.0,127136,0.47030230326295586,0.48166666666666663,127136,149600,5008.0,
square_tent12_hq_s1,square,tent12_hq,1,16,0.5,67984,2880.0,0.35298305483643205,0.35395753708634314,0.14102641629963356,0.27,20032,0.22999999999999998,0.27,False,False,,0.4199999999999999,42032,0.29,97120,0.445,127136.0,127136,0.4385940499040307,0.36833333333333335,127136,148816,,
square_tent12_hq_s2,square,tent12_hq,2,16,0.53,67984,2880.0,0.3780477759472818,0.3793876890409095,0.11620345839888029,0.29,25040,0.24000000000000005,0.29,False,False,95120.0,0.33,42032,0.36,97120,0.51,127136.0,127136,0.5065834932821497,0.4466666666666666,127136,148816,95120.0,
square_tent12_hq_s3,square,tent12_hq,3,16,0.53,67984,2880.0,0.4027818310190633,0.4015637282066744,0.09710042549694238,0.22,15024,0.31000000000000005,0.22,False,False,35056.0,0.24,42032,0.5700000000000001,97120,0.515,127136.0,127136,0.5111564299424184,0.5183333333333334,127136,148816,35056.0,
square_tent12_s1,square,tent12,1,16,0.43,67984,2880.0,0.48082843021887506,0.4807675250782556,0.041366032358958076,0.36,5008,0.07,0.36,False,False,15024.0,0.4,42032,0.43,97120,0.345,127136.0,127136,0.35183301343570056,0.39999999999999997,127136,148816,15024.0,
square_tent12_s2,square,tent12,2,16,0.52,67984,2880.0,0.37670393033654975,0.37414591443053313,0.11868005775741483,0.24,5008,0.28,0.24,False,False,30048.0,0.35,42032,0.45,97120,0.455,127136.0,127136,0.43663627639155467,0.38166666666666665,127136,148816,30048.0,
square_tent12_s3,square,tent12,3,16,0.53,67984,2880.0,0.4257084019769357,0.4260129276800329,0.07084881601584778,0.3,55088,0.23000000000000004,0.3,False,False,,0.47,42032,0.32,97120,0.39,127136.0,127136,0.38615642994241844,0.35166666666666674,127136,148816,20032.0,
square_tent12_s4,square,tent12,4,16,0.4599999999999999,67984,2880.0,0.37276182631207333,0.37312725715579,0.12148961481132824,0.1999999999999999,50080,0.26,0.1999999999999999,False,False,,0.3999999999999999,42032,0.27,97120,0.32,127136.0,127136,0.31829174664107485,0.2966666666666667,127136,148816,20032.0,
square_tent12_s5,square,tent12,5,16,0.39,67984,2880.0,0.3659849376323841,0.3667157993198174,0.13288270013112335,0.27,50080,0.12,0.27,False,False,,0.4,42032,0.31,97120,0.3349999999999999,127136.0,127136,0.3379894433781189,0.3383333333333333,127136,148816,25040.0,
square_tent6_s1,square,tent6,1,16,0.48,67984,2880.0,0.3970710755471876,0.3978628423752404,0.10540273682235117,0.24,60096,0.24,0.24,False,False,,0.29,42032,0.27,97120,0.39,127136.0,127136,0.3853023032629559,0.33166666666666667,127136,148816,25040.0,
square_tent6_s2,square,tent6,2,16,0.43,67984,2880.0,0.36616851023770297,0.3672038976282335,0.13168043827984996,0.1699999999999999,55088,0.2600000000000001,0.1699999999999999,False,False,,0.25,42032,0.21,97120,0.2,127136.0,127136,0.20811420345489445,0.23500000000000001,127136,148816,20032.0,
square_tent6_s3,square,tent6,3,16,0.58,67984,2880.0,0.3704412803012474,0.37068490086372513,0.12446675609947447,0.25,65104,0.32999999999999996,0.25,False,False,,0.29,42032,0.25,97120,0.285,127136.0,127136,0.2837188099808061,0.2683333333333333,127136,148816,,
