bin_online,ent_coef,logp_mean,qw_mean,w_absmean,mu_absmean,w_frac_sat,log_std_mean,offline_p,run,task,group,seed,entropy_estimate,ratio_ge_gq,gq_norm
140000,0.0352238439954817,0.45875009149312973,-30.6390962600708,0.6313288062810898,0.8241450488567352,0.2481515184044838,-0.3836512118577957,0.5981920856065945,can_mix_prefill_s3,can,mix_prefill,3,-0.45875009149312973,,
145000,0.03616843931376928,-0.30955080687999725,-31.339394092559814,0.6301961839199066,0.8048223108053207,0.2423967719078064,-0.3680484294891357,0.5913297129999757,can_mix_prefill_s3,can,mix_prefill,3,0.30955080687999725,,
150000,0.03572211153805248,-0.579231259226799,-28.775345230102538,0.6274169206619262,0.793259060382843,0.23752791285514832,-0.3702733159065247,0.5837988578217326,can_mix_prefill_s3,can,mix_prefill,3,0.579231259226799,,
155000,0.0348662077914923,-0.7531072199344634,-27.483342170715332,0.6234526932239532,0.794249877333641,0.2329450398683548,-0.3697988986968994,0.5764505652679681,can_mix_prefill_s3,can,mix_prefill,3,0.7531072199344634,,
160000,0.03505686861462885,0.2350012175738812,-30.070409297943115,0.6317529380321503,0.818869560956955,0.2442452721297741,-0.37900156527757645,0.5700753051705489,can_mix_prefill_s3,can,mix_prefill,3,-0.2350012175738812,,
165000,0.034767407784238424,-0.033360689878463745,-29.8343768119812,0.6284027993679047,0.808533102273941,0.2399553693830967,-0.3710008263587951,0.5638395183753055,can_mix_prefill_s3,can,mix_prefill,3,0.033360689878463745,,
170000,0.0339913819916546,-0.172402611002326,-28.09515905380249,0.6312000751495361,0.8057541102170944,0.242815300822258,-0.37045370042324066,0.5577386774214738,can_mix_prefill_s3,can,mix_prefill,3,0.172402611002326,,
175000,0.0340087154880166,1.685572624206543,-30.29808616638184,0.6413655281066895,0.8535411357879639,0.2587890625,-0.3777822256088257,0.5539872465429534,can_mix_prefill_s3,can,mix_prefill,3,-1.685572624206543,,
0,0.380286368727684,-14.772932052612305,159.08672714233398,0.5348972678184509,0.30761617608368397,0.11321149952709675,-0.21713914349675176,0.0,can_rs_025_s1,can,rs_025,1,14.772932052612305,0.9443425211855992,1.3784660995006561
5000,0.08852816070429975,-2.966263458132744,160.32968139648438,0.5938786119222641,0.7007244974374771,0.1944405771791935,-0.39016155153512955,0.0,can_rs_025_s1,can,rs_025,1,2.966263458132744,0.4939736830999767,1.1667917519807816
