task,treatment,comparator,metric,n,seeds,delta,delta_se,positive_n,negative_n,per_seed_deltas
can,fixalpha_1,baseline,auc_early,3,"1,2,3",-0.16299677125008774,0.0409813577125924,0,3,"{""1"": -0.16635186355022108, ""2"": -0.23224152453148028, ""3"": -0.09039692566856189}"
can,fixalpha_1,baseline,endpoint,3,"1,2,3",-0.3216666666666667,0.0638574802022267,0,3,"{""1"": -0.335, ""2"": -0.42500000000000004, ""3"": -0.2050000000000001}"
can,fixalpha_1,baseline,at10k,3,"1,2,3",0.28,0.09073771725877468,3,0,"{""1"": 0.31000000000000005, ""2"": 0.10999999999999999, ""3"": 0.42000000000000004}"
can,fixalpha_1,baseline,mean_deficit_pi_dp,3,"1,2,3",0.13373798359295538,0.02916002396259629,3,0,"{""1"": 0.12983796281336604, ""2"": 0.18608157860357902, ""3"": 0.08529440936192112}"
can,fixalpha,baseline,auc_early,3,"1,2,3",-0.2842229943145926,0.05390783291526341,0,3,"{""1"": -0.33836386607706886, ""2"": -0.33789745209517796, ""3"": -0.1764076647715309}"
can,fixalpha,baseline,endpoint,2,"2,3",-0.15500000000000003,1.9626155733547187e-17,0,2,"{""2"": -0.15500000000000003, ""3"": -0.155}"
can,fixalpha,baseline,at10k,3,"1,2,3",-0.26999999999999996,0.11590225767142474,0,3,"{""1"": -0.18, ""2"": -0.5, ""3"": -0.13}"
can,fixalpha,baseline,mean_deficit_pi_dp,3,"1,2,3",0.2303534897630497,0.039510108031430166,3,0,"{""1"": 0.29005198782469727, ""2"": 0.24533963865455338, ""3"": 0.15566884280989848}"
can,hardq,baseline,auc_early,3,"1,2,3",-0.1343637256966379,0.048258569032757465,0,3,"{""1"": -0.08760686460307432, ""2"": -0.23086544535691728, ""3"": -0.08461886712992212}"
can,hardq,baseline,endpoint,0,,,,0,0,{}
can,hardq,baseline,at10k,3,"1,2,3",-0.1600000000000001,0.08544003745317529,0,3,"{""1"": -0.09000000000000011, ""2"": -0.33, ""3"": -0.06000000000000011}"
can,hardq,baseline,mean_deficit_pi_dp,3,"1,2,3",0.09430850041969537,0.026520370535068217,3,0,"{""1"": 0.06396842448574795, ""2"": 0.1471561179824137, ""3"": 0.07180095879092446}"
can,iql_linear,baseline,auc_early,1,1,0.2167393135396926,,1,0,"{""1"": 0.2167393135396926}"
can,iql_linear,baseline,endpoint,1,1,0.08499999999999996,,1,0,"{""1"": 0.08499999999999996}"
can,iql_linear,baseline,at10k,1,1,0.20999999999999996,,1,0,"{""1"": 0.20999999999999996}"
can,iql_linear,baseline,mean_deficit_pi_dp,1,1,-0.026488080333268233,,0,1,"{""1"": -0.026488080333268233}"
can,iql_prefill,baseline,auc_early,3,"1,2,3",0.16873587421913383,0.027790603424426574,3,0,"{""1"": 0.19445567487892185, ""2"": 0.11320488523899763, ""3"": 0.19854706253948196}"
can,iql_prefill,baseline,endpoint,3,"1,2,3",0.37333333333333335,0.05341140119654023,3,0,"{""1"": 0.31500000000000006, ""2"": 0.32500000000000007, ""3"": 0.4800000000000001}"
can,iql_prefill,baseline,at10k,3,"1,2,3",-0.10333333333333333,0.12251983966326073,1,2,"{""1"": -0.04000000000000001, ""2"": -0.34, ""3"": 0.07}"
can,iql_prefill,baseline,mean_deficit_pi_dp,3,"1,2,3",0.000231299571031119,0.01685493235691175,1,2,"{""1"": -0.013561366431523328, ""2"": 0.03376572574120269, ""3"": -0.019510460596586007}"
can,iql,baseline,auc_early,5,"1,2,3,4,5",0.08464982101495051,0.03424929121518199,5,0,"{""1"": 0.07344388292272058, ""2"": 0.029668351231838308, ""3"": 0.12423983996630872, ""4"": 0.002056222362602611, ""5"": 0.19384080859128233}"
can,iql,baseline,endpoint,5,"1,2,3,4,5",0.029000000000000047,0.06565820588471787,3,2,"{""1"": 0.06500000000000006, ""2"": -0.06000000000000005, ""3"": 0.2400000000000001, ""4"": 0.050000000000000044, ""5"": -0.1499999999999999}"
can,iql,baseline,at10k,5,"1,2,3,4,5",0.05800000000000001,0.11685033162126669,3,2,"{""1"": 0.15999999999999998, ""2"": -0.27, ""3"": 0.43000000000000005, ""4"": 0.039999999999999994, ""5"": -0.06999999999999995}"
can,iql,baseline,mean_deficit_pi_dp,5,"1,2,3,4,5",-0.03872496444427454,0.018770017611899475,0,5,"{""1"": -0.021846310447505457, ""2"": -0.0022449607207994954, ""3"": -0.048456240921429417, ""4"": -0.01371868255582526, ""5"": -0.10735862757581308}"
can,mix_fixed,baseline,auc_early,3,"1,2,3",0.2352309258089423,0.043628604748236696,3,0,"{""1"": 0.24941040218993477, ""2"": 0.15357864813644984, ""3"": 0.30270372710044224}"
can,mix_fixed,baseline,endpoint,3,"1,2,3",0.36166666666666664,0.055100917516055156,3,0,"{""1"": 0.32499999999999996, ""2"": 0.29000000000000004, ""3"": 0.4700000000000001}"
can,mix_fixed,baseline,at10k,3,"1,2,3",-0.010000000000000009,0.1973153144926499,1,2,"{""1"": -0.05000000000000002, ""2"": -0.33, ""3"": 0.35}"
can,mix_fixed,baseline,mean_deficit_pi_dp,3,"1,2,3",-0.02154287803074927,0.015084256578376603,1,2,"{""1"": -0.014587573366213845, ""2"": 0.00040233714508509065, ""3"": -0.05044339787111906}"
can,mix_linear,baseline,auc_early,3,"1,2,3",0.2092580894223345,0.03361104096360503,3,0,"{""1"": 0.19052432090966526, ""2"": 0.16271530848599702, ""3"": 0.27453463887134133}"
can,mix_linear,baseline,endpoint,3,"1,2,3",0.2733333333333334,0.10592187896957099,3,0,"{""1"": 0.08000000000000007, ""2"": 0.29500000000000004, ""3"": 0.44500000000000006}"
can,mix_linear,baseline,at10k,3,"1,2,3",-0.2833333333333333,0.10170764201594906,0,3,"{""1"": -0.26, ""2"": -0.47000000000000003, ""3"": -0.12000000000000001}"
can,mix_linear,baseline,mean_deficit_pi_dp,3,"1,2,3",-0.007088022134796114,0.00915069739782267,1,2,"{""1"": -0.004551414903218733, ""2"": 0.00734017087809281, ""3"": -0.024052822379262418}"
can,mix_prefill,baseline,auc_early,3,"1,2,3",0.2497431038113287,0.051924163582586697,3,0,"{""1"": 0.25159191408717624, ""2"": 0.15889766266582428, ""3"": 0.3387397346809855}"
can,mix_prefill,baseline,endpoint,3,"1,2,3",0.38499999999999995,0.0909670269933013,3,0,"{""1"": 0.3799999999999999, ""2"": 0.22999999999999998, ""3"": 0.545}"
can,mix_prefill,baseline,at10k,3,"1,2,3",-0.21,0.12741009902410927,0,2,"{""1"": -0.19, ""2"": -0.44, ""3"": 0.0}"
can,mix_prefill,baseline,mean_deficit_pi_dp,3,"1,2,3",-0.004814996497073287,0.00968322543946905,1,2,"{""1"": -0.0022329204545959505, ""2"": 0.010516066047437555, ""3"": -0.022728135084061466}"
can,rs_025,baseline,auc_early,3,"1,2,3",-0.11342949392854636,0.04171832579160661,0,3,"{""1"": -0.11447567909033474, ""2"": -0.18515898083807125, ""3"": -0.0406538218572331}"
can,rs_025,baseline,endpoint,0,,,,0,0,{}
can,rs_025,baseline,at10k,3,"1,2,3",-0.22333333333333336,0.07535103036971542,0,3,"{""1"": -0.18, ""2"": -0.37, ""3"": -0.12000000000000001}"
can,rs_025,baseline,mean_deficit_pi_dp,3,"1,2,3",0.07950542681990545,0.018794037970124956,3,0,"{""1"": 0.07312375644101449, ""2"": 0.11477590200185842, ""3"": 0.05061662201684347}"
can,rs_2,baseline,auc_early,3,"1,2,3",0.004666947427528563,0.025067149557206427,2,1,"{""1"": 0.002391029690461066, ""2"": -0.03756790903348067, ""3"": 0.0491777216256053}"
can,rs_2,baseline,endpoint,0,,,,0,0,{}
can,rs_2,baseline,at10k,3,"1,2,3",-0.07,0.10969655114602891,1,2,"{""1"": -0.12, ""2"": -0.23000000000000004, ""3"": 0.14}"
can,rs_2,baseline,mean_deficit_pi_dp,3,"1,2,3",0.0009904392444024478,0.010190037837003108,2,1,"{""1"": 0.007019698641406374, ""2"": 0.014835425102056998, ""3"": -0.018883806010256028}"
can,td,baseline,auc_early,3,"1,2,3",0.04117428230504664,0.03140391171036172,2,1,"{""1"": 0.09700147399452513, ""2"": -0.011661402400505394, ""3"": 0.03818277532112019}"
can,td,baseline,endpoint,3,"1,2,3",0.08500000000000003,0.039051248379533283,3,0,"{""1"": 0.020000000000000018, ""2"": 0.08000000000000007, ""3"": 0.15500000000000003}"
can,td,baseline,at10k,3,"1,2,3",0.17666666666666664,0.06960204339273698,3,0,"{""1"": 0.1899999999999999, ""2"": 0.050000000000000044, ""3"": 0.29}"
can,td,baseline,mean_deficit_pi_dp,3,"1,2,3",-0.018519786680703285,0.007063506812403992,0,3,"{""1"": -0.02035803301535352, ""2"": -0.0054703286756050745, ""3"": -0.02973099835115126}"
can,tent12,baseline,auc_early,3,"1,2,3",0.1348603214711869,0.050344449165988917,3,0,"{""1"": 0.17103495472731095, ""2"": 0.03539587281532963, ""3"": 0.1981501368709201}"
can,tent12,baseline,endpoint,3,"1,2,3",0.22166666666666665,0.09056918779462352,3,0,"{""1"": 0.15999999999999992, ""2"": 0.10499999999999998, ""3"": 0.4}"
can,tent12,baseline,at10k,3,"1,2,3",0.02666666666666666,0.14813657362192648,1,2,"{""1"": -0.04000000000000001, ""2"": -0.19, ""3"": 0.31}"
can,tent12,baseline,mean_deficit_pi_dp,3,"1,2,3",-0.024783825309063038,0.013009850012653191,0,3,"{""1"": -0.017628346348791728, ""2"": -0.006696663850306023, ""3"": -0.050026465728091364}"
can,tent12i,baseline,auc_early,3,"1,2,3",0.16224257738471257,0.07952522689337951,3,0,"{""1"": 0.09246683512318382, ""2"": 0.07335123183828185, ""3"": 0.32090966519267206}"
