task,group,bin_online,ent_coef_mean,ent_coef_sem,ent_coef_count,logp_mean_mean,logp_mean_sem,logp_mean_count,qw_mean_mean,qw_mean_sem,qw_mean_count,w_absmean_mean,w_absmean_sem,w_absmean_count,mu_absmean_mean,mu_absmean_sem,mu_absmean_count,w_frac_sat_mean,w_frac_sat_sem,w_frac_sat_count,log_std_mean_mean,log_std_mean_sem,log_std_mean_count,offline_p_mean,offline_p_sem,offline_p_count,ratio_ge_gq_mean,ratio_ge_gq_sem,ratio_ge_gq_count,gq_norm_mean,gq_norm_sem,gq_norm_count,entropy_estimate_mean,entropy_estimate_sem,entropy_estimate_count
can,baseline,0,0.3802117122337222,0.0005615961207841644,5,-15.110586404800415,0.3454101085662842,2,113.29887390136719,0.34215354919433594,2,0.5355478152632713,0.002665393054485321,2,0.30080231092870235,0.021420108154416098,2,0.11650739889591932,0.004690987057983875,2,-0.2017210610210895,0.005666289478540414,2,0.0,0.0,2,,,0,,,0,15.110586404800415,0.3454101085662842,2
can,baseline,5000,0.09951496593654152,0.003264605452287821,5,-2.42044884711504,1.209278054535389,2,62.90554428100586,3.8008546829223633,2,0.5943815633654594,0.008196569979190826,2,0.7041207104921341,0.030006080865859985,2,0.1927315965294838,0.012939453125,2,-0.41784345358610153,0.003598824143409729,2,0.0,0.0,2,,,0,,,0,2.42044884711504,1.209278054535389,2
can,baseline,10000,0.08154489103704687,0.004397579412499638,5,0.6820472814142704,0.2238808013498783,2,-4.048150151968002,7.107828766107559,2,0.6016578152775764,0.011180184781551361,2,0.7712470069527626,0.024966932833194733,2,0.2031075693666935,0.0162702314555645,2,-0.5057235658168793,0.043553620576858534,2,0.0,0.0,2,,,0,,,0,-0.6820472814142704,0.2238808013498783,2
can,baseline,15000,0.08240556664764878,0.004102925331935972,5,0.27752387523651123,0.12793511524796483,2,-25.814853072166443,11.334409356117249,2,0.610266849398613,0.0009280741214752197,2,0.7826883345842361,0.0009809285402297974,2,0.21550642512738705,0.0016043540090322495,2,-0.44890179112553596,0.00846942141652103,2,0.0,0.0,2,,,0,,,0,-0.27752387523651123,0.12793511524796483,2
can,baseline,20000,0.07367986057884987,0.004848206647358262,5,0.6186460219323635,0.11720050498843193,2,-25.706756949424744,14.291255593299866,2,0.6160506010055542,0.0028188973665237427,2,0.8035008236765862,0.0014400854706764221,2,0.2266497015953064,0.0006452277302742004,2,-0.4247271306812763,0.006414491683244705,2,0.0,0.0,2,,,0,,,0,-0.6186460219323635,0.11720050498843193,2
can,baseline,25000,0.06765383495017882,0.004979375880743515,5,1.0703615210950375,0.17879826948046684,2,-22.61512380838394,15.307962357997894,2,0.6210459917783737,0.0012701153755187988,2,0.8219589367508888,0.001953817903995514,2,0.2329624816775322,0.0027378611266613007,2,-0.41698358207941055,8.242577314376831e-05,2,0.0,0.0,2,,,0,,,0,-1.0703615210950375,0.17879826948046684,2
can,baseline,30000,0.06331613715738053,0.004871767602692325,5,0.09321009516716003,0.24941890835762023,2,-19.17467620372772,14.627353215217589,2,0.6153834342956543,0.002353668212890625,2,0.7962531387805938,0.0039009630680084395,2,0.22643695175647738,0.0010463178157806355,2,-0.4085255980491638,0.0005922079086303905,2,0.0,0.0,2,,,0,,,0,-0.09321009516716003,0.24941890835762023,2
can,baseline,35000,0.061053870068862995,0.004943958985393515,5,-0.020831696689128876,0.13754361867904663,2,-22.242071837186813,13.737719804048538,2,0.614502027630806,0.00017143785953521729,2,0.7907920554280281,0.006128080189228058,2,0.22260394506156445,8.719228208065033e-05,2,-0.41952379047870636,0.0003268718719482422,2,0.0,0.0,2,,,0,,,0,0.020831696689128876,0.13754361867904663,2
can,baseline,40000,0.05974182379432018,0.004477121690007074,5,0.1558266207575798,0.27271224558353424,2,-23.172353267669678,14.155538082122803,2,0.6169727519154549,0.0006881579756736755,2,0.7962998673319817,0.008330307900905609,2,0.2256557010114193,0.0023018978536128998,2,-0.4189918041229248,0.003128945827484131,2,0.0,0.0,2,,,0,,,0,-0.1558266207575798,0.27271224558353424,2
can,baseline,45000,0.058541708188131404,0.005047847625899898,5,0.47407521679997444,0.36155441030859947,2,-23.363549888134003,14.017535507678986,2,0.6220835819840431,0.0026055946946144104,2,0.8060996308922768,0.006855778396129608,2,0.23552596010267735,0.0006626676768064499,2,-0.4006827101111412,0.004253387451171917,2,0.0,0.0,2,,,0,,,0,-0.47407521679997444,0.36155441030859947,2
can,baseline,50000,0.05792694044299419,0.005254767150164183,5,-0.06938774138689043,0.03937412798404695,2,-24.75793969631195,14.292646050453186,2,0.6169547438621521,0.0016548633575439453,2,0.7902135401964188,0.004926621913909912,2,0.22359794564545155,0.0021623875945806503,2,-0.41337721049785614,0.006725795567035633,2,0.0,0.0,2,,,0,,,0,0.06938774138689043,0.03937412798404695,2
can,baseline,55000,0.05767176992259915,0.005305572047147235,5,0.259768845513463,0.05024026148021222,2,-20.425281196832657,14.629215568304062,2,0.6161813214421272,0.000300087034702301,2,0.7968132793903351,0.002281367778778076,2,0.22623117826879025,0.0002964567393064499,2,-0.421057503670454,0.003990989178419113,2,0.0,0.0,2,,,0,,,0,-0.259768845513463,0.05024026148021222,2
